Model Name,Base Code,Key Visual Image,Storage,Color en_HK,color zh_HK,Hex Code,showInHKBuyPage,Estore Exclusive,SKU,RRP,LSV Discount,InStockStatus,oosLink hk,oosLink hk_em,Gift1,Gift2,Gift3
Galaxy S26 Ultra,SM-S9480,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-sm-s9480zkptgy-550821367?imbypass=true,1TB+16GB,Black,星曜黑,#4b4d52,TRUE,N,SM-S9480ZKPTGY,13798,500,Y,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,SM-S9480,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-sm-s9480zkptgy-550821367?imbypass=true,512GB+12GB,Black,星曜黑,#4b4d52,TRUE,N,SM-S9480ZKOTGY,11798,300,Y,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,SM-S9480,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-sm-s9480zkptgy-550821367?imbypass=true,256GB+12GB,Black,星曜黑,#4b4d52,TRUE,N,SM-S9480ZKITGY,10198,0,Y,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,SM-S9480,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-sm-s9480zvptgy-550821482?imbypass=true,1TB+16GB,Cobalt Violet,星暮紫,#696881,TRUE,N,SM-S9480ZVPTGY,13798,500,Y,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,SM-S9480,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-sm-s9480zvptgy-550821482?imbypass=true,512GB+12GB,Cobalt Violet,星暮紫,#696881,TRUE,N,SM-S9480ZVOTGY,11798,300,Y,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,SM-S9480,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-sm-s9480zvptgy-550821482?imbypass=true,256GB+12GB,Cobalt Violet,星暮紫,#696881,TRUE,N,SM-S9480ZVITGY,10198,0,Y,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,SM-S9480,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-578324-sm-s9480zsptgy-550823970?imbypass=true,1TB+16GB,Silver Shadow,星月銀,#c8c9ca,TRUE,Y,SM-S9480ZSPTGY,13798,500,Y,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,SM-S9480,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-578324-sm-s9480zsptgy-550823970?imbypass=true,512GB+12GB,Silver Shadow,星月銀,#c8c9ca,TRUE,Y,SM-S9480ZSOTGY,11798,300,Y,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,SM-S9480,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-578324-sm-s9480zsptgy-550823970?imbypass=true,256GB+12GB,Silver Shadow,星月銀,#c8c9ca,TRUE,N,SM-S9480ZSITGY,10198,0,N,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy Z Fold7,SM-F9660,https://images.samsung.com/is/image/samsung/p6pim/hk/f2507/gallery/hk-galaxy-z-fold7-f966-sm-f9660zsgtgy-547656519?imbypass=true,512GB+12GB,Silver Shadow,霧銀灰,#b3b7ba,TRUE,N,SM-F9660ZSGTGY,16798,300,Y,https://www.samsung.com/hk/smartphones/galaxy-z-fold7/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-z-fold7/buy/,Fold7_Gift001,Fold7_Gift002,Fold7_Gift003
